date,personnel,POW
2022-10-10,62870,0.0
2022-10-11,63110,0.0
2022-10-12,63380,0.0
2022-10-13,63800,0.0
2022-10-14,64300,0.0
2022-10-15,64700,0.0
2022-10-16,65000,0.0
2022-10-17,65320,0.0
2022-10-18,65850,0.0
2022-10-19,66280,0.0
2022-10-20,66650,0.0
2022-10-21,66750,0.0
2022-10-22,67070,0.0
2022-10-23,67470,0.0
2022-10-24,67940,0.0
2022-10-25,68420,0.0
2022-10-26,68900,0.0
2022-10-27,69220,0.0
2022-10-28,69700,0.0
2022-10-29,70250,0.0
2022-10-30,71200,0.0
2022-10-31,71820,0.0
2022-11-01,72470,0.0
2022-11-02,73270,0.0
2022-11-03,74000,0.0
2022-11-04,74840,0.0
2022-11-05,75440,0.0
2022-11-06,75930,0.0
2022-11-07,76460,0.0
2022-11-08,77170,0.0
2022-11-09,77950,0.0
2022-11-10,78690,0.0
2022-11-11,79400,0.0
2022-11-12,80210,0.0
2022-11-13,80860,0.0
2022-11-14,81370,0.0
2022-11-15,82080,0.0
2022-11-16,82710,0.0
2022-11-17,83110,0.0
2022-11-18,83460,0.0
2022-11-19,83880,0.0
2022-11-20,84210,0.0
